,Account,Compound,Created Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
263,@CNN,0.0,Sun Mar 25 23:45:02 +0000 2018,0.0,1.0,0.0,US Army veteran who served two tours in Afghanistan has been deported to Mexico https://t.co/laFaJqGzs3 https://t.co/jXz9M1fL0V,264
264,@CNN,-0.4019,Sun Mar 25 23:33:06 +0000 2018,0.213,0.787,0.0,"Catalonia's ex-leader Carles Puigdemont detained in Germany, lawyer says https://t.co/dBEPhjYkHB https://t.co/GUG6UAanEu",265
265,@CNN,0.0,Sun Mar 25 23:26:08 +0000 2018,0.0,1.0,0.0,"Everything you need to know ahead of Stormy Daniels' ""60 Minutes"" interview https://t.co/c2CN8Ql4Yk https://t.co/TnRtjIjmzc",266
266,@CNN,-0.4588,Sun Mar 25 23:19:44 +0000 2018,0.12,0.88,0.0,"Porn star Stormy Daniels says on ""60 Minutes"" she was threatened in 2011 while trying to sell her story about her a… https://t.co/tdGbtLbkZk",267
267,@CNN,0.5859,Sun Mar 25 23:15:05 +0000 2018,0.0,0.673,0.327,"President Trump tweets that ""many lawyers and top law firms"" want to join his legal team https://t.co/pOzeeYBYYs https://t.co/XgBgeJb1fo",268
268,@CNN,0.6435,Sun Mar 25 23:00:11 +0000 2018,0.0,0.695,0.305,"Stormy, don't worry about violating your NDA, writes Harry Litman for @CNNOpinion https://t.co/Ycxol1JaYm https://t.co/LLAzX4FSgH",269
269,@CNN,0.0,Sun Mar 25 22:45:05 +0000 2018,0.0,1.0,0.0,Orange snow blankets parts of Russia https://t.co/EXDdbGDbSx https://t.co/pwOhPn6xKD,270
270,@CNN,-0.6369,Sun Mar 25 22:30:13 +0000 2018,0.366,0.634,0.0,Australia cricket captain Steve Smith resigns over ball-tampering scandal https://t.co/9X1PKDFlne https://t.co/HsjRwLpC1Z,271
271,@CNN,0.7964,Sun Mar 25 22:15:05 +0000 2018,0.0,0.647,0.353,Britain's Scott Brash wins first leg of Global Champions Tour in Mexico City https://t.co/zTB0S4uvFQ https://t.co/cvQjxRDSDJ,272
272,@CNN,0.0,Sun Mar 25 22:00:08 +0000 2018,0.0,1.0,0.0,"Stormy Daniels interview adds to ""60 Minutes"" legacy of big hits https://t.co/q5LxP4G2ku https://t.co/IXtljm6IP9",273
273,@CNN,-0.0772,Sun Mar 25 21:45:11 +0000 2018,0.126,0.874,0.0,Facebook's Zuckerberg says sorry in full-page newspaper ads https://t.co/uchVl0f1EI https://t.co/VkKlB7VzmQ,274
274,@CNN,0.0,Sun Mar 25 21:30:11 +0000 2018,0.0,1.0,0.0,A conservative media executive who is close with President Trump said the President told him Saturday he expects mo… https://t.co/syUiXUZP4i,275
275,@CNN,-0.0997,Sun Mar 25 21:15:04 +0000 2018,0.109,0.805,0.086,President Trump's attorney says husband-and-wife legal team Joseph diGenova and Victoria Toensing won't join legal… https://t.co/fTlnDqJ4Bf,276
276,@CNN,0.0,Sun Mar 25 21:03:28 +0000 2018,0.0,1.0,0.0,"Everything you need to know ahead of Stormy Daniels' ""60 Minutes"" interview https://t.co/9goGs0LO3J https://t.co/xJ0RDRT1GW",277
277,@CNN,0.4767,Sun Mar 25 20:45:06 +0000 2018,0.0,0.78,0.22,Monégasque racing driver Charles Leclerc impresses on debut in Australia https://t.co/lR1qvWSlYn https://t.co/KmYSAA2JVX,278
278,@CNN,-0.6124,Sun Mar 25 20:30:04 +0000 2018,0.294,0.706,0.0,Wisconsin students take gun reform fight to House Speaker Paul Ryan's hometown https://t.co/jpKPV0Lm5p https://t.co/wsP3WVHlcH,279
279,@CNN,0.1901,Sun Mar 25 20:15:19 +0000 2018,0.0,0.907,0.093,"Renaissance popes like Rodrigo Borgia made incredible cultural advancements, but at what cost? The price of progres… https://t.co/GnxJ683r5B",280
280,@CNN,0.0,Mon Mar 26 00:30:09 +0000 2018,0.0,1.0,0.0,Sebastian Vettel repeats 2017 victory in season-opening race of the 2018 Formula One season in Australia… https://t.co/ZhQ551Frji,281
281,@CNN,0.128,Mon Mar 26 00:15:04 +0000 2018,0.12,0.737,0.143,"President Trump's approval holds steady as GOP shrinks Democrats' edge in midterms fight, Fox News poll finds… https://t.co/vEC5UV193r",282
282,@CNN,-0.6369,Mon Mar 26 00:00:04 +0000 2018,0.257,0.743,0.0,CNN commentator and former Pennsylvania GOP Sen. Rick Santorum suggests students protesting for gun control legisla… https://t.co/6e7Htsm73C,283
283,@CNN,0.0,Sun Mar 25 23:45:02 +0000 2018,0.0,1.0,0.0,US Army veteran who served two tours in Afghanistan has been deported to Mexico https://t.co/laFaJqGzs3 https://t.co/jXz9M1fL0V,284
284,@CNN,-0.4019,Sun Mar 25 23:33:06 +0000 2018,0.213,0.787,0.0,"Catalonia's ex-leader Carles Puigdemont detained in Germany, lawyer says https://t.co/dBEPhjYkHB https://t.co/GUG6UAanEu",285
285,@CNN,0.0,Sun Mar 25 23:26:08 +0000 2018,0.0,1.0,0.0,"Everything you need to know ahead of Stormy Daniels' ""60 Minutes"" interview https://t.co/c2CN8Ql4Yk https://t.co/TnRtjIjmzc",286
286,@CNN,-0.4588,Sun Mar 25 23:19:44 +0000 2018,0.12,0.88,0.0,"Porn star Stormy Daniels says on ""60 Minutes"" she was threatened in 2011 while trying to sell her story about her a… https://t.co/tdGbtLbkZk",287
287,@CNN,0.5859,Sun Mar 25 23:15:05 +0000 2018,0.0,0.673,0.327,"President Trump tweets that ""many lawyers and top law firms"" want to join his legal team https://t.co/pOzeeYBYYs https://t.co/XgBgeJb1fo",288
288,@CNN,0.6435,Sun Mar 25 23:00:11 +0000 2018,0.0,0.695,0.305,"Stormy, don't worry about violating your NDA, writes Harry Litman for @CNNOpinion https://t.co/Ycxol1JaYm https://t.co/LLAzX4FSgH",289
289,@CNN,0.0,Sun Mar 25 22:45:05 +0000 2018,0.0,1.0,0.0,Orange snow blankets parts of Russia https://t.co/EXDdbGDbSx https://t.co/pwOhPn6xKD,290
290,@CNN,-0.6369,Sun Mar 25 22:30:13 +0000 2018,0.366,0.634,0.0,Australia cricket captain Steve Smith resigns over ball-tampering scandal https://t.co/9X1PKDFlne https://t.co/HsjRwLpC1Z,291
291,@CNN,0.7964,Sun Mar 25 22:15:05 +0000 2018,0.0,0.647,0.353,Britain's Scott Brash wins first leg of Global Champions Tour in Mexico City https://t.co/zTB0S4uvFQ https://t.co/cvQjxRDSDJ,292
292,@CNN,0.0,Sun Mar 25 22:00:08 +0000 2018,0.0,1.0,0.0,"Stormy Daniels interview adds to ""60 Minutes"" legacy of big hits https://t.co/q5LxP4G2ku https://t.co/IXtljm6IP9",293
293,@CNN,-0.0772,Sun Mar 25 21:45:11 +0000 2018,0.126,0.874,0.0,Facebook's Zuckerberg says sorry in full-page newspaper ads https://t.co/uchVl0f1EI https://t.co/VkKlB7VzmQ,294
294,@CNN,0.0,Sun Mar 25 21:30:11 +0000 2018,0.0,1.0,0.0,A conservative media executive who is close with President Trump said the President told him Saturday he expects mo… https://t.co/syUiXUZP4i,295
295,@CNN,-0.0997,Sun Mar 25 21:15:04 +0000 2018,0.109,0.805,0.086,President Trump's attorney says husband-and-wife legal team Joseph diGenova and Victoria Toensing won't join legal… https://t.co/fTlnDqJ4Bf,296
296,@CNN,0.0,Sun Mar 25 21:03:28 +0000 2018,0.0,1.0,0.0,"Everything you need to know ahead of Stormy Daniels' ""60 Minutes"" interview https://t.co/9goGs0LO3J https://t.co/xJ0RDRT1GW",297
297,@CNN,0.4767,Sun Mar 25 20:45:06 +0000 2018,0.0,0.78,0.22,Monégasque racing driver Charles Leclerc impresses on debut in Australia https://t.co/lR1qvWSlYn https://t.co/KmYSAA2JVX,298
298,@CNN,-0.6124,Sun Mar 25 20:30:04 +0000 2018,0.294,0.706,0.0,Wisconsin students take gun reform fight to House Speaker Paul Ryan's hometown https://t.co/jpKPV0Lm5p https://t.co/wsP3WVHlcH,299
299,@CNN,0.1901,Sun Mar 25 20:15:19 +0000 2018,0.0,0.907,0.093,"Renaissance popes like Rodrigo Borgia made incredible cultural advancements, but at what cost? The price of progres… https://t.co/GnxJ683r5B",300
300,@FoxNews,0.0,Mon Mar 26 00:39:04 +0000 2018,0.0,1.0,0.0,Sister Jean says there must be 'limitations' to spend time with Charles Barkley https://t.co/mDVuGRGPXA,301
301,@FoxNews,-0.4019,Mon Mar 26 00:35:55 +0000 2018,0.231,0.769,0.0,Dramatic South Carolina school bus crash caught on camera https://t.co/wc8ZoUldOn,302
302,@FoxNews,0.0,Mon Mar 26 00:30:32 +0000 2018,0.0,1.0,0.0,"#MarchForOurLives DC Crowd Smaller than Organizers' Estimates, Imaging Company Says https://t.co/MuGS1KP5j9",303
303,@FoxNews,0.4215,Mon Mar 26 00:26:35 +0000 2018,0.0,0.811,0.189,"On ""@WattersWorld,"" @KellyannePolls discussed the progress President @realDonaldTrump's administration has made in… https://t.co/wYp5gsdWrp",304
304,@FoxNews,-0.5859,Mon Mar 26 00:20:29 +0000 2018,0.213,0.787,0.0,".@JudgeJeanine: ""The omnibus bill that Republicans gave President @realDonaldTrump [Friday] is a total betrayal of… https://t.co/MlIoRAV5sk",305
305,@FoxNews,0.3878,Mon Mar 26 00:10:38 +0000 2018,0.12,0.681,0.199,"Peter Navarro: ""@POTUS orchestrated one of the most brilliant tax cuts in history."" #SundayFutures @MariaBartiromo https://t.co/t5dnS05VgD",306
306,@FoxNews,-0.4588,Mon Mar 26 00:08:25 +0000 2018,0.176,0.824,0.0,Stormy Daniels Claims She Was Threatened in Parking Lot Against Revealing Alleged Trump Affair https://t.co/ZQEHS7hIhF,307
307,@FoxNews,0.0,Mon Mar 26 00:06:26 +0000 2018,0.0,1.0,0.0,"'I Went Through Hell': Former FBI Agent Says Andrew McCabe 'Targeted', 'Slandered' Her https://t.co/Sf05PC158b",308
308,@FoxNews,-0.7717,Mon Mar 26 00:00:00 +0000 2018,0.261,0.739,0.0,"TUNE IN: 'Legends &amp; Lies' Returns With a Riveting Look at The Civil War - Hosted by Brian @Kilmeade, it all starts… https://t.co/aolnYbMDYg",309
309,@FoxNews,-0.2732,Sun Mar 25 23:58:21 +0000 2018,0.226,0.645,0.129,".@cameron_kasky on school safety: ""There's no specific mental health problem that makes all these shootings happen,… https://t.co/ffFfkfWrfF",310
310,@FoxNews,-0.7096,Sun Mar 25 23:50:10 +0000 2018,0.396,0.604,0.0,"Russia shopping center fire kills at least 37, report says https://t.co/RfX1o8gE3N",311
311,@FoxNews,-0.6969,Sun Mar 25 23:38:12 +0000 2018,0.2,0.8,0.0,".@newtgingrich: ""There are five cities in America that have most of the killings in America, five cities. All five… https://t.co/YXWT7oI6ZR",312
312,@FoxNews,0.0,Sun Mar 25 23:22:35 +0000 2018,0.162,0.676,0.162,.@AmbJohnBolton responds after @timkaine questions security clearance over Russia gun video https://t.co/FBkKahPsuI,313
313,@FoxNews,0.3252,Sun Mar 25 23:16:51 +0000 2018,0.0,0.811,0.189,OPINION: This is why Trump never speaks ill of Putin https://t.co/w4JyAo4HHA,314
314,@FoxNews,0.0,Sun Mar 25 23:08:56 +0000 2018,0.0,1.0,0.0,"RT @FoxBusiness: WhatsApp co-founder, who sold his company to Facebook, just told his followers to delete it https://t.co/0I9510CSVr",315
